[2024-08-31 13:49:55:423][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 17.0.12 on BaekSeungHyun with PID 22828 (D:\IntelliJ_workspace\WeatherDiary\WeatherDiary\build\classes\java\main started by PC in D:\IntelliJ_workspace\WeatherDiary)
[2024-08-31 13:49:55:425][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2024-08-31 13:49:55:798][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-08-31 13:49:55:833][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 3 JPA repository interfaces.
[2024-08-31 13:49:55:1166][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2024-08-31 13:49:55:1172][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:49:55:1173][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-08-31 13:49:55:1173][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2024-08-31 13:49:55:1232][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-08-31 13:49:55:1233][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 779 ms
[2024-08-31 13:49:55:1328][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-08-31 13:49:56:1552][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-08-31 13:49:56:1591][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-08-31 13:49:56:1623][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
[2024-08-31 13:49:56:1740][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2024-08-31 13:49:56:1817][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2024-08-31 13:49:56:2178][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2024-08-31 13:49:56:2185][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:49:57:2461][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-08-31 13:49:57:2671][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:49:57:2684][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2024-08-31 13:49:57:2692][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.56 seconds (JVM running for 3.011)
[2024-08-31 13:50:09:14695][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:50:09:14696][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-08-31 13:50:09:14701][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-08-31 13:50:14:381][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 17.0.12 on BaekSeungHyun with PID 22748 (D:\IntelliJ_workspace\WeatherDiary\WeatherDiary\build\classes\java\main started by PC in D:\IntelliJ_workspace\WeatherDiary)
